# from http://www.magnetkern.de/spektrum.html
rgb,CIECAM02,width
0100ff,454.15,0.010000000000047748
0032ff,454.16,-0.0
000dff,454.16,-0.0
0008ff,454.16,-0.0
0007ff,454.16,0.009999999999990905
0003ff,454.17,-0.0
0002ff,454.17,-0.0
0033ff,454.17,-0.0
000aff,454.17,-0.0
0009ff,454.17,0.009999999999990905
0004ff,454.18,-0.0
0005ff,454.18,-0.0
0006ff,454.18,0.009999999999990905
0000ff,454.19,-0.0
0034ff,454.19,0.009999999999990905
0001ff,454.2,-0.0
0036ff,454.2,0.009999999999990905
0035ff,454.21,0.010000000000047748
0037ff,454.22,0.029999999999972715
0038ff,454.25,-0.0
0039ff,454.25,0.029999999999972715
003aff,454.28,0.010000000000047748
003bff,454.29,0.029999999999972715
003cff,454.32,0.009999999999990905
003dff,454.33,0.05000000000001137
003eff,454.38,0.009999999999990905
003fff,454.39,0.020000000000038654
0040ff,454.41,0.029999999999972715
0041ff,454.44,0.01999999999998181
0042ff,454.46,0.03000000000002956
0043ff,454.49,0.060000000000002274
0044ff,454.55,0.029999999999972715
0045ff,454.58,0.009999999999990905
0046ff,454.59,0.040000000000020464
0047ff,454.63,0.040000000000020464
0048ff,454.67,0.03999999999996362
0049ff,454.71,0.05000000000001137
004aff,454.76,0.05000000000001137
004bff,454.81,0.01999999999998181
004cff,454.83,0.060000000000002274
004dff,454.89,0.05000000000001137
004eff,454.94,0.040000000000020464
004fff,454.98,0.049999999999954525
0050ff,455.03,0.03000000000002956
0051ff,455.06,0.05000000000001137
0052ff,455.11,0.03999999999996362
0053ff,455.15,0.05000000000001137
0054ff,455.2,0.040000000000020464
0055ff,455.24,0.060000000000002274
0056ff,455.3,0.05000000000001137
0057ff,455.35,0.03999999999996362
0058ff,455.39,0.06999999999999318
0059ff,455.46,0.05000000000001137
005aff,455.51,0.05000000000001137
005bff,455.56,0.06999999999999318
005cff,455.63,0.060000000000002274
005dff,455.69,0.060000000000002274
